MPG,Car,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
18,Chevrolet Chevelle Malibu,8,307,130,3504,12,70,US
15,Buick Skylark 320,8,350,165,3693,11.5,70,US
18,Plymouth Satellite,8,318,150,3436,11,70,US
16,AMC Rebel SST,8,304,150,3433,12,70,US
17,Ford Torino,8,302,140,3449,10.5,70,US
15,Ford Galaxie 500,8,429,198,4341,10,70,US
14,Chevrolet Impala,8,454,220,4354,9,70,US
14,Plymouth Fury iii,8,440,215,4312,8.5,70,US
14,Pontiac Catalina,8,455,225,4425,10,70,US
15,AMC Ambassador DPL,8,390,190,3850,8.5,70,US
0,Citroen DS-21 Pallas,4,133,115,3090,17.5,70,Europe
0,Chevrolet Chevelle Concours (sw),8,350,165,4142,11.5,70,US
0,Ford Torino (sw),8,351,153,4034,11,70,US
0,Plymouth Satellite (sw),8,383,175,4166,10.5,70,US
0,AMC Rebel SST (sw),8,360,175,3850,11,70,US
15,Dodge Challenger SE,8,383,170,3563,10,70,US
14,Plymouth 'Cuda 340,8,340,160,3609,8,70,US
0,Ford Mustang Boss 302,8,302,140,3353,8,70,US
15,Chevrolet Monte Carlo,8,400,150,3761,9.5,70,US
14,Buick Estate Wagon (sw),8,455,225,3086,10,70,US
24,Toyota Corolla Mark ii,4,113,95,2372,15,70,Japan
22,Plymouth Duster,6,198,95,2833,15.5,70,US
18,AMC Hornet,6,199,97,2774,15.5,70,US
21,Ford Maverick,6,200,85,2587,16,70,US
27,Datsun PL510,4,97,88,2130,14.5,70,Japan
26,Volkswagen 1131 Deluxe Sedan,4,97,46,1835,20.5,70,Europe
25,Peugeot 504,4,110,87,2672,17.5,70,Europe
24,Audi 100 LS,4,107,90,2430,14.5,70,Europe
25,Saab 99e,4,104,95,2375,17.5,70,Europe
26,BMW 2002,4,121,113,2234,12.5,70,Europe
21,AMC Gremlin,6,199,90,2648,15,70,US
10,Ford F250,8,360,215,4615,14,70,US
10,Chevy C20,8,307,200,4376,15,70,US
11,Dodge D200,8,318,210,4382,13.5,70,US
9,Hi 1200D,8,304,193,4732,18.5,70,US
27,Datsun PL510,4,97,88,2130,14.5,71,Japan
28,Chevrolet Vega 2300,4,140,90,2264,15.5,71,US
25,Toyota Corolla,4,113,95,2228,14,71,Japan
25,Ford Pinto,4,98,0,2046,19,71,US
0,Volkswagen Super Beetle 117,4,97,48,1978,20,71,Europe
19,AMC Gremlin,6,232,100,2634,13,71,US
16,Plymouth Satellite Custom,6,225,105,3439,15.5,71,US
17,Chevrolet Chevelle Malibu,6,250,100,3329,15.5,71,US
19,Ford Torino 500,6,250,88,3302,15.5,71,US
18,AMC Matador,6,232,100,3288,15.5,71,US
14,Chevrolet Impala,8,350,165,4209,12,71,US
14,Pontiac Catalina Brougham,8,400,175,4464,11.5,71,US
14,Ford Galaxie 500,8,351,153,4154,13.5,71,US
14,Plymouth Fury iii,8,318,150,4096,13,71,US
12,Dodge Monaco (sw),8,383,180,4955,11.5,71,US
13,Ford Country Squire (sw),8,400,170,4746,12,71,US
13,Pontiac Safari (sw),8,400,175,5140,12,71,US
18,AMC Hornet Sportabout (sw),6,258,110,2962,13.5,71,US
22,Chevrolet Vega (sw),4,140,72,2408,19,71,US
19,Pontiac Firebird,6,250,100,3282,15,71,US
18,Ford Mustang,6,250,88,3139,14.5,71,US
23,Mercury Capri 2000,4,122,86,2220,14,71,US
28,Opel 1900,4,116,90,2123,14,71,Europe
30,Peugeot 304,4,79,70,2074,19.5,71,Europe
30,Fiat 124B,4,88,76,2065,14.5,71,Europe
31,Toyota Corolla 1200,4,71,65,1773,19,71,Japan
35,Datsun 1200,4,72,69,1613,18,71,Japan
27,Volkswagen Model 111,4,97,60,1834,19,71,Europe
26,Plymouth Cricket,4,91,70,1955,20.5,71,US
24,Toyota Corolla Hardtop,4,113,95,2278,15.5,72,Japan
25,Dodge Colt Hardtop,4,97.5,80,2126,17,72,US
23,Volkswagen Type 3,4,97,54,2254,23.5,72,Europe
20,Chevrolet Vega,4,140,90,2408,19.5,72,US
21,Ford Pinto Runabout,4,122,86,2226,16.5,72,US
13,Chevrolet Impala,8,350,165,4274,12,72,US
14,Pontiac Catalina,8,400,175,4385,12,72,US
15,Plymouth Fury III,8,318,150,4135,13.5,72,US
14,Ford Galaxie 500,8,351,153,4129,13,72,US
17,AMC Ambassador SST,8,304,150,3672,11.5,72,US
11,Mercury Marquis,8,429,208,4633,11,72,US
13,Buick LeSabre Custom,8,350,155,4502,13.5,72,US
12,Oldsmobile Delta 88 Royale,8,350,160,4456,13.5,72,US
13,Chrysler Newport Royal,8,400,190,4422,12.5,72,US
19,Mazda RX2 Coupe,3,70,97,2330,13.5,72,Japan
15,AMC Matador (sw),8,304,150,3892,12.5,72,US
13,Chevrolet Chevelle Concours (sw),8,307,130,4098,14,72,US
13,Ford Gran Torino (sw),8,302,140,4294,16,72,US
14,Plymouth Satellite Custom (sw),8,318,150,4077,14,72,US
18,Volvo 145e (sw),4,121,112,2933,14.5,72,Europe
22,Volkswagen 411 (sw),4,121,76,2511,18,72,Europe
21,Peugeot 504 (sw),4,120,87,2979,19.5,72,Europe
26,Renault 12 (sw),4,96,69,2189,18,72,Europe
22,Ford Pinto (sw),4,122,86,2395,16,72,US
28,Datsun 510 (sw),4,97,92,2288,17,72,Japan
23,Toyota Corolla Mark II (sw),4,120,97,2506,14.5,72,Japan
28,Dodge Colt (sw),4,98,80,2164,15,72,US
27,Toyota Corolla 1600 (sw),4,97,88,2100,16.5,72,Japan
13,Buick Century 350,8,350,175,4100,13,73,US
14,AMC Matador,8,304,150,3672,11.5,73,US
13,Chevrolet Malibu,8,350,145,3988,13,73,US
14,Ford Gran Torino,8,302,137,4042,14.5,73,US
15,Dodge Coronet Custom,8,318,150,3777,12.5,73,US
12,Mercury Marquis Brougham,8,429,198,4952,11.5,73,US
13,Chevrolet Caprice Classic,8,400,150,4464,12,73,US
13,Ford LTD,8,351,158,4363,13,73,US
14,Plymouth Fury Gran Sedan,8,318,150,4237,14.5,73,US
13,Chrysler New Yorker Brougham,8,440,215,4735,11,73,US
12,Buick Electra 225 Custom,8,455,225,4951,11,73,US
13,AMC Ambassador Brougham,8,360,175,3821,11,73,US
18,Plymouth Valiant,6,225,105,3121,16.5,73,US
16,Chevrolet Nova Custom,6,250,100,3278,18,73,US
